X;Y;Clay.gkg;OM.gkg
-47.39987804;-22.88467088;157;11
-47.39642782;-22.88141101;161;12.2
-47.39661818;-22.88688377;107;11.4
-47.39747478;-22.87710419;76;8.8
-47.39799826;-22.87522442;69;10.4
-47.39987804;-22.88100651;199;16.7
-47.39319175;-22.88333838;102;14.4
-47.39247791;-22.88726449;76;17.7
-47.39450045;-22.88007852;130;13.4
-47.39864072;-22.88876355;250;24.3
-47.38971774;-22.89011984;63;8.8
-47.38878975;-22.88402842;79;15.7
-47.39000327;-22.88705034;35;7.2
-47.38291248;-22.87503406;173;12.6
-47.39088367;-22.87591446;215;11.6
-47.39157372;-22.87334464;93;15.9
-47.3934059;-22.8744154;133;9.8
-47.38714792;-22.87729455;73;10.6
-47.39007466;-22.87222629;13;11
-47.39459563;-22.87553375;76;11.6
-47.38993189;-22.8801261;84;16.1
-47.38543471;-22.87258321;99;16.5
-47.38455431;-22.87915053;154;16.5
-47.38517297;-22.87505785;204;26.8
-47.38491123;-22.88444483;98;13
-47.38764761;-22.88785935;118;12.8
-47.38100891;-22.87737545;159;12
-47.38486721;-22.88227119;67;13.4
-47.37093869;-22.89026329;92;17.7
-47.3673621;-22.88232115;79;16.1
-47.36592445;-22.88812434;100;11.2
-47.37072831;-22.89431325;141;13.8
-47.36427641;-22.89108731;102;13.8
-47.36858936;-22.89117497;97;11
-47.36922053;-22.88617826;100;12.6
-47.37199063;-22.88759837;118;18.7
-47.37179778;-22.89285807;136;13.2
-47.36808093;-22.88396919;108;12.8
-47.36650302;-22.89128016;101;14.4
-47.36775761;-22.88673845;123;15.1
-47.37806051;-22.88920757;78;17.5
-47.37344555;-22.89297188;108;13
-47.37460553;-22.89338828;70;12.8
-47.37957266;-22.89139548;45;13.8
-47.37627116;-22.88443556;139;19.7
-47.37329683;-22.881372;108;11.6
-47.37076865;-22.87682128;44;13.2
-47.37935851;-22.88199066;118;8.2
-47.3679371;-22.87999192;37;12.8
-47.38502163;-22.88924802;108;14.4
-47.3815952;-22.88870074;87;11.2
-47.38148218;-22.89322172;113;16.5
-47.38272842;-22.88599366;152;13.4
-47.3767364;-22.88206382;217;18.5
-47.37607494;-22.87793945;124;14.7
-47.37486876;-22.88739439;181;14.9
-47.38521843;-22.89160575;86;15.3
-47.37521894;-22.89000131;49;12.4
-47.38623025;-22.89762752;144;8.2
-47.37070547;-22.88210273;106;10.8
-47.38661728;-22.90518435;48;8.2
-47.3837191;-22.90392086;256;18.3
-47.41800036;-22.87466583;49;11
-47.43612877;-22.8778186;469;20.3
-47.44125202;-22.87695159;485;20.3
-47.437563;-22.86833106;497;23.7
-47.43228059;-22.86752204;541;24.3
-47.43370322;-22.87264925;313;18.7
-47.4260414;-22.87146547;162;13.4
-47.42898894;-22.86816399;523;20.5
-47.42687922;-22.86483325;491;28.8
-47.42069262;-22.86257276;472;28.6
-47.41776588;-22.86266794;287;20.7
-47.41912217;-22.86649887;438;24.7
-47.42035949;-22.86987771;269;19.1
-47.42216788;-22.87385141;225;22.1
-47.41538642;-22.86745066;213;23.1
-47.42454734;-22.86052643;495;25.8
-47.43525492;-22.86961597;403;23.5
-47.43744402;-22.87768234;470;26.2
-47.43884791;-22.87430351;438;25.2
-47.44010902;-22.86388147;601;20.1
-47.4406325;-22.85988397;553;23.9
-47.44156049;-22.86921146;638;22.3
-47.44413031;-22.86445254;567;23.9
-47.44650977;-22.86564227;552;26
-47.44877026;-22.86690338;588;28.2
-47.43055691;-22.86374536;472;27
-47.44045309;-22.84790053;621;24.7
-47.44504545;-22.84687736;482;25.8
-47.44768665;-22.85173146;505;28.8
-47.44678246;-22.85484856;563;33.2
-47.4408338;-22.85539583;522;20.7
-47.44863844;-22.85696628;489;37.9
-47.44683005;-22.86279596;506;29.6
-47.44426023;-22.85746596;585;26.8
-47.44435541;-22.85108901;511;27.6
-47.44870982;-22.84780535;501;26.6
-47.44302291;-22.84423616;327;19.9
-47.44485509;-22.84178532;230;16.3
-47.44247563;-22.83783541;334;16.3
-47.44023894;-22.83854925;493;28
-47.4350993;-22.84197567;428;21.9
-47.43983443;-22.84264192;541;23.3
-47.43900162;-22.83519421;446;21.3
-47.43676493;-22.83274336;328;17.5
-47.43198221;-22.83188676;382;19.9
-47.42972172;-22.82898382;345;20.5
-47.42589079;-22.82824618;382;19.5
-47.43524207;-22.83809715;554;24.1
-47.430269;-22.83804956;486;28
-47.42298785;-22.83531318;315;21.1
-47.42001352;-22.83005457;163;11.8
-47.41770544;-22.8317202;147;13.2
-47.41908553;-22.83638394;301;20.9
-47.42227401;-22.83714537;272;20.9
-47.42639048;-22.83757367;439;18.3
-47.43098284;-22.83947724;420;22.9
-47.41979937;-22.83426622;167;16.3
-47.42153637;-22.83250542;195;21.9
-47.42560525;-22.83198194;474;26.4
-47.43017382;-22.83350479;490;20.3
-47.4373122;-22.83647912;524;22.1
-47.42287078;-22.84653186;427;19.9
-47.43203589;-22.83624745;535;22.3
-47.38572024;-22.89347891;94;13.2
-47.37997979;-22.90710133;91;12
-47.37829632;-22.89811648;86;11
-47.40934981;-22.79509456;404;27
-47.40551449;-22.79239356;91;13.4
